Unidad,Parametro,A�o,Mes,D�a,Fecha,Valor,Area
mg/L,P tot.,2018,5,17,5/17/2018,0.2,AV10
mg/L,P tot.,2018,3,2,3/2/2018,0.1,AV10
mg/L,P tot.,2018,5,14,5/14/2018,0.2,CA10
NMP/100 ml,CF,2018,5,17,5/17/2018,1600,CL30
NMP/100 ml,CF,2018,5,17,5/17/2018,1600,RI10
uS/cm,Cond,2018,5,17,5/17/2018,586,ZA10
uS/cm,Cond,2018,5,17,5/17/2018,572,CL30
NMP/100 ml,CF,2018,5,17,5/17/2018,540,ZA10
uS/cm,Cond,2018,5,17,5/17/2018,493,RI10
uS/cm,Cond,2018,5,17,5/17/2018,263,AV10
uS/cm,Cond,2018,5,17,5/17/2018,248,CL20
uS/cm,Cond,2018,5,17,5/17/2018,125,CL10
mg/L,SO4,2018,5,17,5/17/2018,125,CL30
mg/L,SO4,2018,5,17,5/17/2018,106.6,ZA10
mg/L,SO4,2018,5,17,5/17/2018,89,RI10
mg/L,SO4,2018,5,17,5/17/2018,84.7,AV10
NMP/100 ml,CF,2018,5,17,5/17/2018,49,AV10
mg/L,SST,2018,5,17,5/17/2018,46.2,RI10
mg/L,CL-,2018,5,17,5/17/2018,42.14,CL30
mg/L,CL-,2018,5,17,5/17/2018,40.98,RI10
mg/L,SO4,2018,5,17,5/17/2018,40,CL20
mg/L,SST,2018,5,17,5/17/2018,34.4,CL30
mg/L,CL-,2018,5,17,5/17/2018,29.8,AV10
mg/L,CL-,2018,5,17,5/17/2018,25.94,ZA10
mg/L,CL-,2018,5,17,5/17/2018,25,CL10
mg/L,CL-,2018,5,17,5/17/2018,25,CL20
mg/L,SO4,2018,5,17,5/17/2018,20,CL10
mg/L,DQO,2018,5,17,5/17/2018,19,ZA10
mg/L,AyG,2018,5,17,5/17/2018,15,ZA10
mg/L,DQO,2018,5,17,5/17/2018,13,AV10
mg/L,N tot.,2018,5,17,5/17/2018,10.34,CL30
mg/L,N tot.,2018,5,17,5/17/2018,10.21,RI10
mg/L,AyG,2018,5,17,5/17/2018,10,AV10
mg/L,SST,2018,5,17,5/17/2018,10,AV10
mg/L,AyG,2018,5,17,5/17/2018,10,CL10
mg/L,SST,2018,5,17,5/17/2018,10,CL10
mg/L,AyG,2018,5,17,5/17/2018,10,CL20
mg/L,SST,2018,5,17,5/17/2018,10,CL20
mg/L,AyG,2018,5,17,5/17/2018,10,CL30
mg/L,DQO,2018,5,17,5/17/2018,10,CL30
mg/L,AyG,2018,5,17,5/17/2018,10,RI10
mg/L,SST,2018,5,17,5/17/2018,10,ZA10
mg/L,N-NO3,2018,5,17,5/17/2018,9.84516129,CL30
mg/L,N-NO3,2018,5,17,5/17/2018,9.822580645,RI10
mg/L,O Dis.,2018,5,17,5/17/2018,9.5,CL10
mg/L,O Dis.,2018,5,17,5/17/2018,8.7,AV10
mg/L,O Dis.,2018,5,17,5/17/2018,8.4,CL20
mg/L,O Dis.,2018,5,17,5/17/2018,8.4,ZA10
mg/L,N tot.,2018,5,17,5/17/2018,8.24,CL20
mg/L,N-NO3,2018,5,17,5/17/2018,8.219354839,CL20
mg/L,O Dis.,2018,5,17,5/17/2018,8.2,CL30
